DATE,"PAIR ",Trade Report,LOTS,TYPE,Entry,Setup,"TIME FRAME ",Stoploss,EXIT AVG.,Exit Logic,Net P&L,ROI,"Rules Followed ","Money Management ","RISK "
10/07/2023 11:45 AM (GMT+5:30) → 12:00 PM,XAUUSD,https://www.tradingview.com/x/ew9nsgIL/,0.17,LONG,1920.18,Rejection from Support,"5 min, 15 min",1918.91,1923.18,TP hit,50.5,+1%,"YES ",YES,FULL
10/07/2023 7:15 PM (GMT+5:30) → 7:20 PM,XAUUSD,"https://www.tradingview.com/x/XSZTj2IB/, https://www.tradingview.com/x/WksK2iDC/",0.04,SHORT,1921.47,Rejection from resistance,"5min, 15min ",1924.17,1924.17,SL Hit,-11,-0.22%,"YES ",YES,HALF
11/07/2023 9:00 AM (GMT+5:30) → 9:25 AM,XAUUSD,https://www.tradingview.com/x/gB9MhJu1/,0.1,LONG,1926.82,"Breakout + Retest ",5 min,1925.33,1926.17,other,-7,-0.14%,"YES ",YES,HALF
11/07/2023 1:00 PM (GMT+5:30) → 1:45 PM,XAUUSD,"https://www.tradingview.com/x/Ur6mazy8/, https://www.tradingview.com/x/5yEhT7jX/",0.11,LONG,1931.37,Breakout + Retest,5 min,1929.13,1936.02,TP hit,50.5,+1.01%,"YES ",YES,FULL
12/07/2023 8:25 AM (GMT+5:30) → 10:50 AM,XAUUSD,"https://www.tradingview.com/x/kcxuvd3C/, https://www.tradingview.com/x/tmW3PdRH/",0.1,SHORT,1940.08,"Rejection from major resistance ","15 min, 5 min",1941.6,1940.06,TSL Hit,-0.1,-0.002%,"YES ",YES,HALF
17/07/2023 6:40 AM (GMT+5:30) → 10:45 AM,XAUUSD,https://www.tradingview.com/x/xi3SsPUl/,0.06,SHORT,1953.87,Breakdown + Retest,"15 min, 5 min",1956.22,1954.012,TSL Hit,-11,-0.22%,"YES ",YES,HALF
17/07/2023 7:00 AM (GMT+5:30) → 9:55 AM,XAUUSD,https://www.tradingview.com/x/nakoFX93/,0.06,SHORT,1954.92,Breakdown + Retest (same setup as 1st one ),"15min, 5 min",1956.51,1952.56,TSL Hit,14,+0.28%,"YES ",NO,HALF
17/07/2023 11:15 AM (GMT+5:30) → 12:45 PM,XAUUSD,"https://www.tradingview.com/x/z8utd9Y1/, https://www.tradingview.com/x/2ROp7PcE/",0.08,SHORT,1955.55,Rejection from resistance,"15min, 5 min",1957.43,1951.61,TP hit,31,+0.62%,"YES ",YES,HALF
18/07/2023 1:20 PM (GMT+5:30) → 4:15 PM,XAUUSD,"https://www.tradingview.com/x/HizkAERc/, https://www.tradingview.com/x/T3RKbEfH/",0.08,SHORT,1962.72,Rejection from resistance,"15min, 5 min",1964.85,1964.38,TSL Hit,-10.56,-0.21%,"YES ",YES,HALF
18/07/2023 8:30 PM (GMT+5:30) → 19/07/2023 7:35 AM (GMT+5:30),XAUUSD,"https://www.tradingview.com/x/nKnpMdPS/, https://www.tradingview.com/x/mpflXw2d/",0.05,SHORT,1982.5,Rejection from major resistance,"15min, 5 min",1985.24,1975.49,TP hit,35,+0.7%,"YES ",YES,HALF
19/07/2023 10:05 AM (GMT+5:30) → 11:25 AM,XAUUSD,"https://www.tradingview.com/x/CzvOI8B8/, https://www.tradingview.com/x/ML9hVFkF/",0.19,LONG,1975.04,"Rejection from support ","15 min, 5 min",1973.74,1978.09,TP hit,57.5,+1.15%,"YES ",YES,FULL
20/07/2023 1:25 PM (GMT+5:30) → 2:15 PM,XAUUSD,"https://www.tradingview.com/x/cxTgIdk8/, https://www.tradingview.com/x/FAsCBVtm/",0.19,LONG,1979.13,Rejection from support,"15min, 5min",1977.3,1983.72,TP hit,50.6,+1.01%,"YES ",YES,FULL
21/07/2023 2:20 PM (GMT+5:30) → 2:25 PM,XAUUSD,"https://www.tradingview.com/x/W45Y3YXu/, https://www.tradingview.com/x/C1PQmxld/",0.07,LONG,1963.31,"Rejection from major support ","15min, 5 min",1961.23,1961.23,SL Hit,-15,-0.3%,"YES ",YES,HALF
24/07/2023 10:00 AM (GMT+5:30) → 11:30 AM,XAUUSD,"https://www.tradingview.com/x/yqILzyoD/, https://www.tradingview.com/x/oqTNwT06/",0.15,LONG,1959.64,Rejection from Support,"15min, 5min",1958.49,1959.68,TSL Hit,-0.15,-0.003%,NO,NO,HALF
24/07/2023 11:50 AM (GMT+5:30) → 12:30 PM,XAUUSD,"https://www.tradingview.com/x/RLC13ij5/, https://www.tradingview.com/x/LjGtsETh/",0.08,LONG,1959.64,Rejection from support,"15min, 5 min",1957.59,1963.9,TP hit,34,+0.68%,"YES ",YES,HALF
25/07/2023 5:05 PM (GMT+5:30) → 5:20 PM,XAUUSD,"https://www.tradingview.com/x/0o109Csk/, https://www.tradingview.com/x/AY8IakjS/",0.07,LONG,1954.64,Rejection from support,"15min, 5min",1952.62,1959.39,TP hit,33,+0.66%,"YES ",YES,HALF
26/07/2023 5:15 PM (GMT+5:30) → 7:00 PM,XAUUSD,"https://www.tradingview.com/x/WFOzB1j2/, https://www.tradingview.com/x/7fuKXPxQ/",0.07,SHORT,1972.42,"Rejection from resistance ","15min, 5min",1974.72,1967.41,TP hit,34.5,+0.69%,"YES ",YES,HALF
26/07/2023 7:20 PM (GMT+5:30) → 8:45 PM,XAUUSD,"https://www.tradingview.com/x/385IOolk/, https://www.tradingview.com/x/3EtueIaV/, https://www.tradingview.com/x/7II0vGsd/",0.09,LONG,1965.78,"Breakout and retest ","15min, 5min",1963.1,1972.79,TP hit,62.5,+1.25%,"YES ",YES,FULL
,,,,,,,,,,,,,,,
